contact_id,name,email,company,industry,source,created_at,engagement_score,converted,conversion_date,channel_cost_total,funnel_stage
48,Lead_48,lead48@example.com,Company_133,E-Commerce,Facebook Ads,2025-07-12,34,False,,30000,Lead
49,Lead_49,lead49@example.com,Company_216,Manufacturing,LinkedIn DMs,2025-06-29,73,True,2025-08-11,25000,Customer
50,Lead_50,lead50@example.com,Company_246,SaaS,Referral,2025-06-23,6,False,,2500,Lead
51,Lead_51,lead51@example.com,Company_263,SaaS,Organic,2025-06-10,0,False,,0,Lead
52,Lead_52,lead52@example.com,Company_266,Manufacturing,LinkedIn DMs,2025-06-13,33,False,,25000,Lead
53,Lead_53,lead53@example.com,Company_13,SaaS,Email Campaign,2025-06-14,32,False,,10000,Lead
54,Lead_54,lead54@example.com,Company_295,SaaS,Facebook Ads,2025-06-13,15,True,2025-07-04,30000,Customer
55,Lead_55,lead55@example.com,Company_67,SaaS,Facebook Ads,2025-06-03,33,False,,30000,Lead
56,Lead_56,lead56@example.com,Company_26,Healthcare,Facebook Ads,2025-07-31,23,False,,30000,Lead
57,Lead_57,lead57@example.com,Company_268,Healthcare,Facebook Ads,2025-06-19,10,False,,30000,Lead
58,Lead_58,lead58@example.com,Company_53,Manufacturing,Organic,2025-07-09,14,True,2025-08-12,0,Customer
59,Lead_59,lead59@example.com,Company_241,E-Commerce,LinkedIn DMs,2025-07-17,14,False,,25000,Lead
60,Lead_60,lead60@example.com,Company_73,SaaS,Organic,2025-06-26,37,False,,0,Lead
61,Lead_61,lead61@example.com,Company_247,Healthcare,Organic,2025-06-07,35,False,,0,Lead
62,Lead_62,lead62@example.com,Company_118,SaaS,Facebook Ads,2025-06-21,30,False,,30000,Lead
63,Lead_63,lead63@example.com,Company_63,E-Commerce,Referral,2025-06-10,25,False,,2500,Lead
64,Lead_64,lead64@example.com,Company_234,SaaS,Facebook Ads,2025-07-04,15,False,,30000,Lead
65,Lead_65,lead65@example.com,Company_241,SaaS,LinkedIn DMs,2025-07-10,72,True,2025-08-20,25000,Customer
66,Lead_66,lead66@example.com,Company_129,E-Commerce,Email Campaign,2025-06-18,18,True,2025-07-30,10000,Customer
67,Lead_67,lead67@example.com,Company_206,E-Commerce,Email Campaign,2025-07-01,27,False,,10000,Lead
68,Lead_68,lead68@example.com,Company_158,Healthcare,Email Campaign,2025-06-17,27,False,,10000,Lead
69,Lead_69,lead69@example.com,Company_281,Manufacturing,Referral,2025-07-19,43,False,,2500,MQL
70,Lead_70,lead70@example.com,Company_257,Healthcare,LinkedIn DMs,2025-06-15,51,False,,25000,MQL
71,Lead_71,lead71@example.com,Company_246,Manufacturing,Facebook Ads,2025-06-16,32,False,,30000,Lead
72,Lead_72,lead72@example.com,Company_206,Manufacturing,Webinar,2025-06-11,56,False,,5000,MQL
73,Lead_73,lead73@example.com,Company_222,Manufacturing,Facebook Ads,2025-06-17,41,False,,30000,MQL
74,Lead_74,lead74@example.com,Company_104,Manufacturing,Email Campaign,2025-07-04,29,False,,10000,Lead
75,Lead_75,lead75@example.com,Company_151,FinTech,LinkedIn DMs,2025-06-08,25,False,,25000,Lead
76,Lead_76,lead76@example.com,Company_138,Manufacturing,Referral,2025-06-07,23,False,,2500,Lead
77,Lead_77,lead77@example.com,Company_5,E-Commerce,LinkedIn DMs,2025-06-15,60,False,,25000,MQL
78,Lead_78,lead78@example.com,Company_17,Manufacturing,LinkedIn DMs,2025-06-30,63,False,,25000,MQL
79,Lead_79,lead79@example.com,Company_77,E-Commerce,Facebook Ads,2025-06-20,26,False,,30000,Lead
80,Lead_80,lead80@example.com,Company_235,Manufacturing,Organic,2025-06-07,25,False,,0,Lead
81,Lead_81,lead81@example.com,Company_268,EdTech,Facebook Ads,2025-05-31,33,False,,30000,Lead
82,Lead_82,lead82@example.com,Company_251,SaaS,Facebook Ads,2025-06-21,2,False,,30000,Lead
83,Lead_83,lead83@example.com,Company_185,SaaS,LinkedIn DMs,2025-06-06,57,True,2025-06-25,25000,Customer
84,Lead_84,lead84@example.com,Company_134,Healthcare,Facebook Ads,2025-06-10,32,False,,30000,Lead
85,Lead_85,lead85@example.com,Company_249,SaaS,Email Campaign,2025-06-02,47,False,,10000,MQL
86,Lead_86,lead86@example.com,Company_239,FinTech,LinkedIn DMs,2025-06-29,46,False,,25000,MQL
87,Lead_87,lead87@example.com,Company_262,Healthcare,Facebook Ads,2025-06-18,51,True,2025-07-26,30000,Customer
88,Lead_88,lead88@example.com,Company_223,FinTech,Organic,2025-09-28,7,False,,0,Lead
89,Lead_89,lead89@example.com,Company_286,Manufacturing,LinkedIn DMs,2025-06-24,22,False,,25000,Lead
90,Lead_90,lead90@example.com,Company_18,SaaS,LinkedIn DMs,2025-06-02,48,True,2025-06-27,25000,Customer
91,Lead_91,lead91@example.com,Company_163,EdTech,Facebook Ads,2025-06-08,35,False,,30000,Lead
92,Lead_92,lead92@example.com,Company_235,E-Commerce,Organic,2025-07-07,38,False,,0,Lead
93,Lead_93,lead93@example.com,Company_51,FinTech,Organic,2025-05-31,39,False,,0,Lead
94,Lead_94,lead94@example.com,Company_225,FinTech,Facebook Ads,2025-07-19,2,False,,30000,Lead
95,Lead_95,lead95@example.com,Company_264,Healthcare,Facebook Ads,2025-06-01,60,False,,30000,MQL
96,Lead_96,lead96@example.com,Company_133,FinTech,Referral,2025-07-02,11,False,,2500,Lead
97,Lead_97,lead97@example.com,Company_232,Manufacturing,Email Campaign,2025-06-12,50,False,,10000,MQL
98,Lead_98,lead98@example.com,Company_94,EdTech,Organic,2025-08-21,38,False,,0,Lead
99,Lead_99,lead99@example.com,Company_218,E-Commerce,Email Campaign,2025-05-31,52,False,,10000,MQL
100,Lead_100,lead100@example.com,Company_246,EdTech,Organic,2025-06-21,9,False,,0,Lead
101,Lead_101,lead101@example.com,Company_33,Healthcare,Facebook Ads,2025-06-04,2,False,,30000,Lead
102,Lead_102,lead102@example.com,Company_137,E-Commerce,Email Campaign,2025-06-13,48,False,,10000,MQL
103,Lead_103,lead103@example.com,Company_256,FinTech,Referral,2025-05-31,20,False,,2500,Lead
104,Lead_104,lead104@example.com,Company_190,Healthcare,LinkedIn DMs,2025-06-27,24,False,,25000,Lead
105,Lead_105,lead105@example.com,Company_50,SaaS,Email Campaign,2025-07-26,22,False,,10000,Lead
106,Lead_106,lead106@example.com,Company_100,Healthcare,Organic,2025-06-21,14,False,,0,Lead
107,Lead_107,lead107@example.com,Company_211,FinTech,Facebook Ads,2025-07-10,29,False,,30000,Lead
108,Lead_108,lead108@example.com,Company_75,E-Commerce,Organic,2025-07-19,46,False,,0,MQL
109,Lead_109,lead109@example.com,Company_231,SaaS,Organic,2025-06-24,7,False,,0,Lead
110,Lead_110,lead110@example.com,Company_8,EdTech,Organic,2025-06-05,35,True,2025-06-17,0,Customer
111,Lead_111,lead111@example.com,Company_1,EdTech,LinkedIn DMs,2025-06-21,46,False,,25000,MQL
112,Lead_112,lead112@example.com,Company_232,Healthcare,Referral,2025-06-15,27,False,,2500,Lead
113,Lead_113,lead113@example.com,Company_298,FinTech,Email Campaign,2025-06-08,20,False,,10000,Lead
114,Lead_114,lead114@example.com,Company_280,E-Commerce,Email Campaign,2025-06-02,23,False,,10000,Lead
115,Lead_115,lead115@example.com,Company_43,Healthcare,Referral,2025-06-08,0,False,,2500,Lead
116,Lead_116,lead116@example.com,Company_102,FinTech,Email Campaign,2025-06-26,27,False,,10000,Lead
117,Lead_117,lead117@example.com,Company_127,E-Commerce,Facebook Ads,2025-06-09,49,False,,30000,MQL
118,Lead_118,lead118@example.com,Company_62,Manufacturing,Organic,2025-06-03,14,False,,0,Lead
119,Lead_119,lead119@example.com,Company_23,Healthcare,Facebook Ads,2025-06-05,34,False,,30000,Lead
120,Lead_120,lead120@example.com,Company_280,Manufacturing,Facebook Ads,2025-07-27,0,False,,30000,Lead
121,Lead_121,lead121@example.com,Company_138,EdTech,Email Campaign,2025-06-02,4,False,,10000,Lead
122,Lead_122,lead122@example.com,Company_183,FinTech,Referral,2025-06-12,14,False,,2500,Lead
123,Lead_123,lead123@example.com,Company_80,E-Commerce,Email Campaign,2025-06-21,60,False,,10000,MQL
124,Lead_124,lead124@example.com,Company_3,EdTech,LinkedIn DMs,2025-06-04,34,True,2025-07-01,25000,Customer
125,Lead_125,lead125@example.com,Company_299,SaaS,Email Campaign,2025-06-10,29,False,,10000,Lead
126,Lead_126,lead126@example.com,Company_295,FinTech,Facebook Ads,2025-06-10,10,False,,30000,Lead
127,Lead_127,lead127@example.com,Company_252,E-Commerce,Organic,2025-06-11,32,False,,0,Lead
128,Lead_128,lead128@example.com,Company_70,SaaS,Facebook Ads,2025-07-20,9,False,,30000,Lead
129,Lead_129,lead129@example.com,Company_280,Manufacturing,Webinar,2025-06-30,6,False,,5000,Lead
130,Lead_130,lead130@example.com,Company_115,FinTech,Facebook Ads,2025-06-08,5,False,,30000,Lead
131,Lead_131,lead131@example.com,Company_243,Manufacturing,Facebook Ads,2025-08-03,33,False,,30000,Lead
132,Lead_132,lead132@example.com,Company_68,Manufacturing,Organic,2025-06-02,0,False,,0,Lead
133,Lead_133,lead133@example.com,Company_259,EdTech,LinkedIn DMs,2025-06-21,26,False,,25000,Lead
134,Lead_134,lead134@example.com,Company_149,Healthcare,Email Campaign,2025-06-07,57,False,,10000,MQL
135,Lead_135,lead135@example.com,Company_44,Healthcare,Organic,2025-06-19,55,False,,0,MQL
136,Lead_136,lead136@example.com,Company_214,E-Commerce,Facebook Ads,2025-06-12,1,False,,30000,Lead
137,Lead_137,lead137@example.com,Company_82,Manufacturing,Facebook Ads,2025-06-01,14,False,,30000,Lead
138,Lead_138,lead138@example.com,Company_70,SaaS,Facebook Ads,2025-06-29,48,False,,30000,MQL
139,Lead_139,lead139@example.com,Company_157,EdTech,LinkedIn DMs,2025-06-19,29,False,,25000,Lead
140,Lead_140,lead140@example.com,Company_260,SaaS,Facebook Ads,2025-06-02,0,False,,30000,Lead
141,Lead_141,lead141@example.com,Company_211,EdTech,Email Campaign,2025-06-15,0,False,,10000,Lead
142,Lead_142,lead142@example.com,Company_200,Manufacturing,LinkedIn DMs,2025-06-24,1,False,,25000,Lead
143,Lead_143,lead143@example.com,Company_77,E-Commerce,Referral,2025-07-12,27,False,,2500,Lead
144,Lead_144,lead144@example.com,Company_267,SaaS,Facebook Ads,2025-07-03,33,False,,30000,Lead
145,Lead_145,lead145@example.com,Company_101,Healthcare,Facebook Ads,2025-11-05,1,False,,30000,Lead
146,Lead_146,lead146@example.com,Company_193,Manufacturing,Email Campaign,2025-08-02,21,True,2025-08-09,10000,Customer
147,Lead_147,lead147@example.com,Company_55,Healthcare,Organic,2025-07-15,0,False,,0,Lead
148,Lead_148,lead148@example.com,Company_200,EdTech,Email Campaign,2025-06-01,28,False,,10000,Lead
149,Lead_149,lead149@example.com,Company_38,Manufacturing,Email Campaign,2025-06-16,48,False,,10000,MQL
150,Lead_150,lead150@example.com,Company_27,Manufacturing,Facebook Ads,2025-06-03,19,False,,30000,Lead
151,Lead_151,lead151@example.com,Company_178,FinTech,Webinar,2025-06-22,55,False,,5000,MQL
152,Lead_152,lead152@example.com,Company_181,SaaS,Referral,2025-07-02,0,False,,2500,Lead
153,Lead_153,lead153@example.com,Company_14,Healthcare,LinkedIn DMs,2025-06-19,79,False,,25000,POC
154,Lead_154,lead154@example.com,Company_14,SaaS,Organic,2025-06-03,13,False,,0,Lead
155,Lead_155,lead155@example.com,Company_262,Healthcare,Email Campaign,2025-06-02,29,False,,10000,Lead
156,Lead_156,lead156@example.com,Company_244,Manufacturing,Webinar,2025-06-03,76,False,,5000,POC
157,Lead_157,lead157@example.com,Company_168,FinTech,LinkedIn DMs,2025-06-16,45,False,,25000,MQL
158,Lead_158,lead158@example.com,Company_156,FinTech,Email Campaign,2025-06-27,79,False,,10000,POC
159,Lead_159,lead159@example.com,Company_231,Manufacturing,LinkedIn DMs,2025-06-23,12,False,,25000,Lead
160,Lead_160,lead160@example.com,Company_167,Healthcare,LinkedIn DMs,2025-07-11,9,False,,25000,Lead
161,Lead_161,lead161@example.com,Company_63,Manufacturing,Facebook Ads,2025-06-05,48,False,,30000,MQL
162,Lead_162,lead162@example.com,Company_255,FinTech,Email Campaign,2025-06-16,14,False,,10000,Lead
163,Lead_163,lead163@example.com,Company_239,Manufacturing,Referral,2025-06-06,30,False,,2500,Lead
164,Lead_164,lead164@example.com,Company_293,Healthcare,Facebook Ads,2025-07-10,0,False,,30000,Lead
165,Lead_165,lead165@example.com,Company_88,Manufacturing,LinkedIn DMs,2025-06-01,52,False,,25000,MQL
166,Lead_166,lead166@example.com,Company_79,EdTech,Facebook Ads,2025-06-01,35,False,,30000,Lead
167,Lead_167,lead167@example.com,Company_267,EdTech,Organic,2025-06-01,41,False,,0,MQL
168,Lead_168,lead168@example.com,Company_106,SaaS,Email Campaign,2025-06-25,33,True,2025-07-29,10000,Customer
169,Lead_169,lead169@example.com,Company_173,FinTech,Facebook Ads,2025-06-26,14,False,,30000,Lead
170,Lead_170,lead170@example.com,Company_235,Healthcare,LinkedIn DMs,2025-06-08,60,False,,25000,MQL
171,Lead_171,lead171@example.com,Company_120,SaaS,LinkedIn DMs,2025-06-15,19,False,,25000,Lead
172,Lead_172,lead172@example.com,Company_36,FinTech,Facebook Ads,2025-06-06,52,True,2025-07-18,30000,Customer
173,Lead_173,lead173@example.com,Company_205,E-Commerce,Facebook Ads,2025-06-13,33,True,2025-06-22,30000,Customer
174,Lead_174,lead174@example.com,Company_101,EdTech,Webinar,2025-06-04,62,False,,5000,MQL
175,Lead_175,lead175@example.com,Company_89,Manufacturing,Email Campaign,2025-06-02,26,False,,10000,Lead
176,Lead_176,lead176@example.com,Company_24,SaaS,LinkedIn DMs,2025-08-06,51,False,,25000,MQL
177,Lead_177,lead177@example.com,Company_279,EdTech,Organic,2025-07-25,0,False,,0,Lead
178,Lead_178,lead178@example.com,Company_25,Healthcare,Organic,2025-06-07,15,False,,0,Lead
179,Lead_179,lead179@example.com,Company_232,Manufacturing,Facebook Ads,2025-06-18,15,False,,30000,Lead
180,Lead_180,lead180@example.com,Company_97,SaaS,Organic,2025-07-16,19,False,,0,Lead
181,Lead_181,lead181@example.com,Company_248,EdTech,Facebook Ads,2025-07-02,36,False,,30000,Lead
182,Lead_182,lead182@example.com,Company_11,SaaS,LinkedIn DMs,2025-06-06,16,False,,25000,Lead
183,Lead_183,lead183@example.com,Company_67,Manufacturing,Email Campaign,2025-06-05,37,False,,10000,Lead
184,Lead_184,lead184@example.com,Company_272,Manufacturing,Email Campaign,2025-06-08,20,True,2025-06-28,10000,Customer
185,Lead_185,lead185@example.com,Company_265,Manufacturing,Email Campaign,2025-06-08,43,False,,10000,MQL
186,Lead_186,lead186@example.com,Company_71,Healthcare,Facebook Ads,2025-06-13,23,False,,30000,Lead
187,Lead_187,lead187@example.com,Company_83,Healthcare,Organic,2025-05-31,22,False,,0,Lead
188,Lead_188,lead188@example.com,Company_96,EdTech,Facebook Ads,2025-06-21,1,False,,30000,Lead
189,Lead_189,lead189@example.com,Company_200,E-Commerce,LinkedIn DMs,2025-06-04,55,False,,25000,MQL
190,Lead_190,lead190@example.com,Company_140,EdTech,Email Campaign,2025-06-08,19,False,,10000,Lead
191,Lead_191,lead191@example.com,Company_218,Healthcare,Organic,2025-07-25,51,False,,0,MQL
192,Lead_192,lead192@example.com,Company_273,Healthcare,Organic,2025-06-09,23,False,,0,Lead
193,Lead_193,lead193@example.com,Company_213,Healthcare,Referral,2025-06-12,11,False,,2500,Lead
194,Lead_194,lead194@example.com,Company_41,E-Commerce,LinkedIn DMs,2025-07-31,28,False,,25000,Lead
195,Lead_195,lead195@example.com,Company_197,Manufacturing,Facebook Ads,2025-06-20,57,False,,30000,MQL
196,Lead_196,lead196@example.com,Company_157,E-Commerce,Facebook Ads,2025-06-16,10,False,,30000,Lead
197,Lead_197,lead197@example.com,Company_96,EdTech,LinkedIn DMs,2025-06-12,68,False,,25000,SQL
198,Lead_198,lead198@example.com,Company_177,E-Commerce,Referral,2025-06-30,18,False,,2500,Lead
199,Lead_199,lead199@example.com,Company_90,FinTech,Facebook Ads,2025-06-24,22,False,,30000,Lead
200,Lead_200,lead200@example.com,Company_135,FinTech,Facebook Ads,2025-06-05,17,False,,30000,Lead
201,Lead_201,lead201@example.com,Company_238,E-Commerce,Email Campaign,2025-07-06,34,False,,10000,Lead
202,Lead_202,lead202@example.com,Company_255,Manufacturing,Email Campaign,2025-06-08,41,False,,10000,MQL
203,Lead_203,lead203@example.com,Company_213,Manufacturing,Facebook Ads,2025-05-31,10,False,,30000,Lead
204,Lead_204,lead204@example.com,Company_148,SaaS,Facebook Ads,2025-06-09,24,True,2025-07-15,30000,Customer
205,Lead_205,lead205@example.com,Company_91,EdTech,Organic,2025-08-03,0,False,,0,Lead
206,Lead_206,lead206@example.com,Company_167,Manufacturing,Facebook Ads,2025-06-17,21,False,,30000,Lead
207,Lead_207,lead207@example.com,Company_266,Manufacturing,Webinar,2025-06-24,93,False,,5000,POC
208,Lead_208,lead208@example.com,Company_247,FinTech,Email Campaign,2025-06-01,57,False,,10000,MQL
209,Lead_209,lead209@example.com,Company_228,FinTech,Email Campaign,2025-06-12,22,False,,10000,Lead
210,Lead_210,lead210@example.com,Company_62,FinTech,Webinar,2025-06-26,39,False,,5000,Lead
211,Lead_211,lead211@example.com,Company_270,E-Commerce,Facebook Ads,2025-07-06,0,False,,30000,Lead
212,Lead_212,lead212@example.com,Company_269,FinTech,Facebook Ads,2025-06-14,3,False,,30000,Lead
213,Lead_213,lead213@example.com,Company_141,Manufacturing,Referral,2025-06-13,22,False,,2500,Lead
214,Lead_214,lead214@example.com,Company_49,Manufacturing,Facebook Ads,2025-06-14,5,False,,30000,Lead
215,Lead_215,lead215@example.com,Company_110,Healthcare,Email Campaign,2025-06-04,51,False,,10000,MQL
216,Lead_216,lead216@example.com,Company_119,E-Commerce,Facebook Ads,2025-06-05,19,False,,30000,Lead
217,Lead_217,lead217@example.com,Company_3,E-Commerce,Facebook Ads,2025-06-29,19,False,,30000,Lead
218,Lead_218,lead218@example.com,Company_48,SaaS,LinkedIn DMs,2025-08-12,17,False,,25000,Lead
219,Lead_219,lead219@example.com,Company_233,E-Commerce,Email Campaign,2025-05-31,20,False,,10000,Lead
220,Lead_220,lead220@example.com,Company_170,FinTech,LinkedIn DMs,2025-06-02,55,False,,25000,MQL
221,Lead_221,lead221@example.com,Company_209,EdTech,Email Campaign,2025-06-06,60,False,,10000,MQL
222,Lead_222,lead222@example.com,Company_280,SaaS,LinkedIn DMs,2025-06-20,34,False,,25000,Lead
223,Lead_223,lead223@example.com,Company_94,E-Commerce,LinkedIn DMs,2025-07-06,51,True,2025-07-14,25000,Customer
224,Lead_224,lead224@example.com,Company_181,FinTech,Facebook Ads,2025-06-02,26,False,,30000,Lead
225,Lead_225,lead225@example.com,Company_81,Manufacturing,LinkedIn DMs,2025-06-09,49,False,,25000,MQL
226,Lead_226,lead226@example.com,Company_181,FinTech,Email Campaign,2025-07-13,43,False,,10000,MQL
227,Lead_227,lead227@example.com,Company_288,SaaS,Facebook Ads,2025-06-13,47,False,,30000,MQL
228,Lead_228,lead228@example.com,Company_294,Healthcare,LinkedIn DMs,2025-06-29,38,False,,25000,Lead
229,Lead_229,lead229@example.com,Company_276,EdTech,Email Campaign,2025-06-07,41,False,,10000,MQL
230,Lead_230,lead230@example.com,Company_111,EdTech,Organic,2025-09-15,9,True,2025-09-29,0,Customer
231,Lead_231,lead231@example.com,Company_144,Manufacturing,Facebook Ads,2025-06-13,16,False,,30000,Lead
232,Lead_232,lead232@example.com,Company_285,Healthcare,Facebook Ads,2025-06-17,20,True,2025-07-30,30000,Customer
233,Lead_233,lead233@example.com,Company_110,FinTech,Referral,2025-06-01,12,False,,2500,Lead
234,Lead_234,lead234@example.com,Company_292,E-Commerce,Facebook Ads,2025-07-06,16,False,,30000,Lead
235,Lead_235,lead235@example.com,Company_151,SaaS,Organic,2025-06-08,45,False,,0,MQL
236,Lead_236,lead236@example.com,Company_289,EdTech,LinkedIn DMs,2025-07-02,71,False,,25000,SQL
237,Lead_237,lead237@example.com,Company_138,Healthcare,Webinar,2025-06-24,37,False,,5000,Lead
238,Lead_238,lead238@example.com,Company_285,SaaS,Facebook Ads,2025-06-03,39,False,,30000,Lead
239,Lead_239,lead239@example.com,Company_68,SaaS,LinkedIn DMs,2025-06-13,30,False,,25000,Lead
240,Lead_240,lead240@example.com,Company_52,Healthcare,Email Campaign,2025-06-01,34,False,,10000,Lead
241,Lead_241,lead241@example.com,Company_136,EdTech,Organic,2025-06-04,21,False,,0,Lead
242,Lead_242,lead242@example.com,Company_50,Manufacturing,Organic,2025-06-05,3,False,,0,Lead
243,Lead_243,lead243@example.com,Company_224,E-Commerce,Organic,2025-06-09,19,False,,0,Lead
244,Lead_244,lead244@example.com,Company_88,Healthcare,Webinar,2025-07-02,46,False,,5000,MQL
245,Lead_245,lead245@example.com,Company_55,Manufacturing,Facebook Ads,2025-07-13,29,False,,30000,Lead
246,Lead_246,lead246@example.com,Company_31,EdTech,Facebook Ads,2025-06-06,15,False,,30000,Lead
247,Lead_247,lead247@example.com,Company_183,SaaS,LinkedIn DMs,2025-06-11,11,False,,25000,Lead
248,Lead_248,lead248@example.com,Company_95,E-Commerce,Webinar,2025-06-19,39,False,,5000,Lead
249,Lead_249,lead249@example.com,Company_55,Manufacturing,Facebook Ads,2025-06-01,4,False,,30000,Lead
250,Lead_250,lead250@example.com,Company_260,EdTech,Facebook Ads,2025-06-13,32,False,,30000,Lead
251,Lead_251,lead251@example.com,Company_161,Manufacturing,Webinar,2025-06-13,5,False,,5000,Lead
252,Lead_252,lead252@example.com,Company_142,Healthcare,Referral,2025-05-31,17,False,,2500,Lead
253,Lead_253,lead253@example.com,Company_33,EdTech,Facebook Ads,2025-06-20,17,False,,30000,Lead
254,Lead_254,lead254@example.com,Company_150,EdTech,Facebook Ads,2025-06-21,44,False,,30000,MQL
255,Lead_255,lead255@example.com,Company_162,FinTech,Webinar,2025-06-15,71,False,,5000,SQL
256,Lead_256,lead256@example.com,Company_83,Manufacturing,LinkedIn DMs,2025-06-14,41,True,2025-07-07,25000,Customer
257,Lead_257,lead257@example.com,Company_132,FinTech,Organic,2025-07-04,9,False,,0,Lead
258,Lead_258,lead258@example.com,Company_33,FinTech,Facebook Ads,2025-06-04,37,False,,30000,Lead
